,Concentration,k_on,k_off,surf_ads_dens,diff_coeff,pore_diam,hyd_rad,Max,corr_grad
326,0.04,0.28401,0.60264,0.49886,0.04188,0.13059,0.45371,0.00240933265176282,1.354066555059956e-05
241,10.0,0.32246,0.62134,0.50906,0.22347,0.27793,0.36597,0.01715243197440233,1.1128595980279425e-06
290,0.1,0.35473,0.61303,0.50231,0.14041,0.41753,0.55474,0.002688275027866832,3.082610097555314e-06
360,40.0,0.40593,0.66664,0.51001,0.05808,0.37207,0.45246,0.012594396508503513,1.1991202291579586e-06
322,0.04,0.29564,0.60978,0.50684,0.04301,0.42187,0.43353,0.0017312237455403873,1.1197176956581156e-05
317,0.1,0.27697,0.64202,0.49763,0.036,0.36268,0.40415,0.0018363728291531129,5.540331738951723e-06
286,20.0,0.37364,0.59246,0.46237,0.11865,0.48442,0.53885,0.01479958533450157,2.031509207073688e-06
110,0.2,0.36155,0.64382,0.35987,0.04054,0.46229,0.62048,0.0034365188603712456,3.751894859993139e-06
17,2.0,0.4874,0.54943,0.4755,0.41209,0.54976,0.39616,0.010756727535939713,-1.0307422497683611e-06
177,1.0,0.22348,0.616,0.53393,0.01842,0.32865,0.53656,0.007660116160162833,-3.760492460884904e-07
180,1.0,0.30725,0.59835,0.4979,0.07426,0.47421,0.65795,0.008769684198402017,4.4644205900123325e-07
182,1.0,0.29691,0.59458,0.48521,0.14938,0.38741,0.49444,0.006456982831639026,4.573916167158425e-07
195,1.0,0.28975,0.58276,0.47208,0.18805,0.48673,0.54525,0.009877551140263775,-1.3228991284365486e-06
321,0.04,0.20062,0.49281,0.48746,0.11025,0.37654,0.38381,0.0018626318885632156,1.0660780049975022e-05
97,0.2,0.23488,0.53639,0.56981,0.31889,0.43282,0.42899,0.0034591055867651934,2.7645748865621215e-06
200,1.0,0.30591,0.5787,0.49817,0.25404,0.7103,0.75523,0.009026694818741349,-7.825450755638561e-07
82,0.02,0.99572,0.17452,0.66921,0.37291,0.26898,0.5022,0.00038475279632842565,1.120495687253297e-06
138,0.4,0.37372,0.52497,0.53499,0.55378,0.46484,0.4625,0.006532279984918763,2.2331468725279396e-06
77,0.02,0.2115,0.62902,0.47414,0.0255,0.20991,0.40363,0.0018195996880687227,2.790145737218794e-06
