,k_on,k_off,surf_ads_dens,diff_coeff,pore_diam,hyd_rad,Max,corr_grad,Concentration
0,0.3867508333333333,0.5322658333333333,0.5391983333333333,0.18713083333333336,0.39942208333333334,0.47012375,0.0012544638101680125,2.80459892029108e-06,0.0
0,0.050038839147101444,-0.03543053437463768,0.030702607223188405,0.0331125320384058,0.007717729659057972,0.005635158905434785,-7.232663181142121e-05,1.6238554553377716e-07,0.0
1,-0.03543053437463768,0.03523442872101451,-0.019851103924637674,-0.04050873691376812,-0.00659262641268116,-0.005819073701086959,6.048461179153967e-05,-4.186095833690606e-08,0.0
2,0.030702607223188405,-0.019851103924637674,0.021852269466666678,0.015113786657971017,0.004983339803623188,0.0032910852065217416,-5.039794798917247e-05,1.0123561884189155e-07,0.0
3,0.0331125320384058,-0.04050873691376812,0.015113786657971017,0.07171416459927538,0.007247495693840581,0.009817235383695654,-8.147078165529502e-05,-1.0030720715897659e-07,0.0
4,0.007717729659057972,-0.00659262641268116,0.004983339803623188,0.007247495693840581,0.0037397778346014493,0.0011922420309782617,-1.0405566618227787e-05,5.600104603924588e-08,0.0
5,0.005635158905434785,-0.005819073701086959,0.0032910852065217416,0.009817235383695654,0.0011922420309782617,0.0028863369809782615,-1.5593589969915523e-05,3.60590165415017e-08,0.0
6,-7.232663181142121e-05,6.048461179153967e-05,-5.039794798917247e-05,-8.147078165529502e-05,-1.0405566618227787e-05,-1.5593589969915523e-05,3.827411855596178e-07,3.351703097608506e-10,0.0
7,1.6238554553377716e-07,-4.186095833690606e-08,1.0123561884189155e-07,-1.0030720715897659e-07,5.600104603924588e-08,3.60590165415017e-08,3.351703097608506e-10,1.3622764661559865e-11,0.0
0,0.34380375,0.5852025,0.4624520833333334,0.25843750000000004,0.41467625,0.4793729166666667,0.0013405746713395167,-1.1542490291804728e-06,0.002
0,0.02580927520706522,-0.007050464196739126,0.014274253035326086,0.0026791622532608664,-0.0029220726809782624,-0.004441700685326089,2.351367593825265e-05,3.2487409888216344e-07,0.002
1,-0.007050464196739126,0.050246932993478266,-0.025773523831521747,0.008011084997826089,0.002156934909782607,-0.004043861685869567,2.314505581907831e-05,-3.880097617970814e-07,0.002
2,0.014274253035326086,-0.025773523831521747,0.03051169323460145,-0.01615206872065218,0.004087697290760869,0.005644678845833335,9.637808025084054e-06,6.734677033590543e-07,0.002
3,0.0026791622532608664,0.008011084997826089,-0.01615206872065218,0.08928371991521739,-0.003500017379347828,0.015224426516304346,-3.3740805286188324e-05,-1.0669667936304992e-06,0.002
4,-0.0029220726809782624,0.002156934909782607,0.004087697290760869,-0.003500017379347828,0.038120905676630436,0.011283640954891304,-4.847166494139467e-06,-7.90083284626502e-07,0.002
5,-0.004441700685326089,-0.004043861685869567,0.005644678845833335,0.015224426516304346,0.011283640954891304,0.03257566269981884,-9.258942609551526e-06,-1.0556665362854527e-06,0.002
6,2.351367593825265e-05,2.314505581907831e-05,9.637808025084054e-06,-3.3740805286188324e-05,-4.847166494139467e-06,-9.258942609551526e-06,3.7011541377776785e-07,1.9448861373971923e-09,0.002
